suburb,role,company,address,types,website,relevant?
Surry Hills,chef,Single O Surry Hills,"60/64 Reservoir St, Surry Hills NSW 2010, Australia",coffee_shop|breakfast_restaurant|cafe|food_store|store|restaurant|point_of_interest|food|establishment,https://singleo.com.au/,
Surry Hills,chef,A.P House (A.P Bakery),"L2/80 Commonwealth St, Surry Hills NSW 2010, Australia",bakery|cafe|food_store|store|point_of_interest|food|establishment,http://www.apbakery.com.au/,
Surry Hills,chef,Macchiato Wood Fire Pizza and Coffee Roasters,"Shop 2/338 Pitt St, Sydney NSW 2000, Australia",italian_restaurant|wine_bar|catering_service|cocktail_bar|pizza_restaurant|salad_shop|food_delivery|coffee_roastery|bar|food_store|service|wholesaler|store|restaurant|point_of_interest|food|establishment,https://macchiato.com.au/,
Surry Hills,chef,Haidilao Hotpot Darling Square,"The Exchange Darling Square, Level 5/1 Little Pier St, Haymarket NSW 2000, Australia",hot_pot_restaurant|restaurant|point_of_interest|food|establishment,https://inline.app/booking/-MpAXdgPw-qISWMfL-Ay:inline-live-2/-MpAXdtBOYd9Mx3XvO9k,
Surry Hills,chef,Woolworths Town Hall,"540 George St, Sydney NSW 2000, Australia",supermarket|meal_takeaway|grocery_store|food_store|store|restaurant|point_of_interest|food|establishment,https://www.woolworths.com.au/shop/storelocator/nsw-sydney-1248?utm_source=google&utm_medium=organic&utm_campaign=googleplaces&utm_content=woolworths_supermarkets_1248,
Surry Hills,chef,Swissôtel Sydney,"68 Market St, Sydney NSW 2000, Australia",hotel|lodging|restaurant|point_of_interest|food|establishment,https://www.swissotelsydney.com.au/?goto=fiche_hotel&code_hotel=A5D0&merchantid=seo-maps-AU-A5D0&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,
Surry Hills,chef,The Grounds Coffee Factory,"Bay, 4a/2 Locomotive St, Eveleigh NSW 2015, Australia",cafe|tourist_attraction|coffee_roastery|wholesaler|point_of_interest|food|establishment,https://thegrounds.com.au/dine-in/the-coffee-factory,
Surry Hills,chef,The Caterpillar Club,"92 Pitt St, Sydney NSW 2000, Australia",bar|point_of_interest|establishment,https://swillhouse.com/venues/the-caterpillar-club/,
Surry Hills,chef,Lune Croissanterie Sydney CBD,"Entry via Castlereagh St, Shop N80.RT01 Metro Martin Place, 1 Elizabeth St, Sydney NSW 2000, Australia",bakery|food_store|store|point_of_interest|food|establishment,https://www.lunecroissanterie.com/sydney-cbd,
Surry Hills,chef,Bar Totti's,"330A/330B George St, Sydney NSW 2000, Australia",italian_restaurant|cocktail_bar|bar|restaurant|point_of_interest|food|establishment,https://merivale.com/venues/bar-tottis/?&utm_source=googlemybusiness_venue&utm_medium=organic&utm_campaign=googlemybusiness_venue_organic_bartottis&utm_content=website,
Surry Hills,chef,King Street Wharf Darling Harbour,"The Promenade, Lime St, Sydney NSW 2000, Australia",tourist_attraction|convenience_store|bowling_alley|sports_complex|tour_agency|travel_agency|bar|sports_activity_location|transportation_service|food_store|service|store|restaurant|point_of_interest|food|establishment,https://www.kingstreetwharf.com/?utm_source=Google&utm_medium=Organic&utm_campaign=gmb,
Surry Hills,chef,Restaurant Hubert,"15 Bligh St, Sydney NSW 2000, Australia",french_restaurant|restaurant|point_of_interest|food|establishment,https://www.swillhouse.com/venues/restaurant-hubert,
Surry Hills,chef,Amora Hotel Jamison Sydney,"11 Jamison St, Sydney NSW 2000, Australia",hotel|wedding_venue|spa|bar|event_venue|lodging|service|restaurant|point_of_interest|food|establishment,https://www.amorahotels.com/sydney/?utm_source=google-local&utm_medium=organic,
Surry Hills,chef,Mr. Wong,"3 Bridge Ln, Sydney NSW 2000, Australia",cantonese_restaurant|asian_restaurant|meal_takeaway|chinese_restaurant|restaurant|point_of_interest|food|establishment,https://merivale.com/venues/mrwong?&utm_source=googlemybusiness_venue&utm_medium=organic&utm_campaign=googlemybusiness_venue_organic_mr.wong&utm_content=website,
Surry Hills,chef,InterContinental Sydney by IHG,"16 Phillip St, Sydney NSW 2000, Australia",hotel|massage_spa|convention_center|wedding_venue|spa|resort_hotel|event_venue|lodging|massage|service|restaurant|point_of_interest|food|establishment,https://www.ihg.com/intercontinental/hotels/us/en/sydney/sydha/hoteldetail?cm_mmc=GoogleMaps-_-IC-_-AU-_-SYDHA,
Surry Hills,chef,Crown Sydney,"1 Barangaroo Ave, Barangaroo NSW 2000, Australia",hotel|tourist_attraction|resort_hotel|bar|lodging|point_of_interest|establishment,https://www.crownsydney.com.au/,
Surry Hills,chef,Museum of Contemporary Art Australia,"140 George St, The Rocks NSW 2000, Australia",art_museum|cafe|tourist_attraction|event_venue|museum|art_gallery|store|point_of_interest|food|establishment,https://www.mca.com.au/,
Surry Hills,chef,Opera Bar,"Sydney Opera House, Lower Concourse Level, Sydney NSW 2000, Australia",bar|oyster_bar_restaurant|pizza_restaurant|australian_restaurant|seafood_restaurant|restaurant|point_of_interest|food|establishment,https://operabar.com.au/,
Surry Hills,chef,Australian Meat Emporium,"Unit 4/31 O'Riordan St, Alexandria NSW 2015, Australia",butcher_shop|cafe|deli|grocery_store|manufacturer|food_store|service|wholesaler|store|restaurant|point_of_interest|food|establishment,http://www.meatemporium.com.au/,
Surry Hills,chef,The Grounds of Alexandria,"7a/2 Huntley St, Alexandria NSW 2015, Australia",restaurant|breakfast_restaurant|cafe|wedding_venue|meal_takeaway|bar|event_venue|service|point_of_interest|food|establishment,http://www.thegrounds.com.au/,
